name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_url,source_name,is_verified
Duplex Stainless Steel 2205,Metal,Stainless Steel,2205,ASTM A240,7.82,620,900,450,550,25,293 HBW,200,19,500,1350,1400,,450,700,INR,"Chemical tankers, pressure vessels, desalination plants, oil & gas pipelines","S32205 (UNS), X2CrNiMoN22-5-3 (EN)","Fe 64%, Cr 22-23%, Ni 4.5-6.5%, Mo 3-3.5%, N 0.14-0.20%",High strength + corrosion resistance,,MatWeb,false
AISI 4340 Alloy Steel,Metal,Alloy Steel,4340,ASTM A29,7.85,745,1080,470,710,22,217 HBW,205,44.5,475,1427,1450,,90,150,INR,"Aircraft landing gear, power transmission gears, shafts, structural parts","40CrNiMo6 (EN), SNCM439 (JIS)","Fe 95%, Ni 1.65-2.0%, Cr 0.70-0.90%, Mo 0.20-0.30%, C 0.38-0.43%",Ultra high strength steel for aerospace,,Textbook / ASM,false
AISI 52100 Bearing Steel,Metal,Alloy Steel,52100,ASTM A295,7.81,700,2000,400,1700,10,62 HRC,210,46.6,475,1424,1454,,120,200,INR,"Ball bearings, roller bearings, bearing rings, precision shafts","100Cr6 (EN), SUJ2 (JIS)","Fe 96%, Cr 1.3-1.6%, C 0.98-1.10%, Mn 0.25-0.45%",Standard bearing steel worldwide,,Textbook / ASM,false
AISI 9260 Spring Steel,Metal,Alloy Steel,9260,ASTM A29,7.85,665,1090,415,690,17,229 HBW,200,46,460,1420,1460,,85,140,INR,"Leaf springs, coil springs, lock washers, agricultural implements","60Si2Mn (China), SUP7 (JIS)","Fe 96%, Si 1.8-2.2%, Mn 0.75-1.0%, C 0.56-0.64%",High silicon spring steel,,Textbook / ASM,false
EN8 Medium Carbon Steel,Metal,Carbon Steel,EN8,BS 970,7.85,550,700,280,350,16,170 HBW,205,50,480,1420,1460,,55,80,INR,"General engineering, axles, bolts, studs, connecting rods","AISI 1040, C40 (EN), S40C (JIS), IS 1570 Grade 40C8","Fe 98%, C 0.36-0.44%, Mn 0.60-1.0%",Most common Indian workshop steel,,BIS,false
EN24 Alloy Steel,Metal,Alloy Steel,EN24,BS 970,7.85,850,1000,680,850,12,280 HBW,205,38,460,1420,1460,,100,170,INR,"Heavy duty shafts, gears, studs, bolts, connecting rods","AISI 4340, 34CrNiMo6 (EN), SNCM439 (JIS)","Fe 95%, Ni 1.3-1.7%, Cr 1.0-1.4%, Mo 0.2-0.35%, C 0.36-0.44%",Most popular high-strength steel in Indian industry,,BIS,false
EN19 Alloy Steel,Metal,Alloy Steel,EN19,BS 970,7.85,750,1000,550,750,14,248 HBW,205,42,460,1416,1450,,85,130,INR,"Crankshafts, axles, propeller shafts, high-tensile bolts and studs","AISI 4140, 42CrMo4 (EN), SCM440 (JIS)","Fe 96.7%, Cr 0.90-1.20%, Mo 0.15-0.30%, C 0.36-0.44%",Indian equivalent of AISI 4140,,BIS,false
Titanium Grade 2 (CP),Metal,Titanium,Grade 2,ASTM B265,4.51,345,480,275,345,20,80 HRB,103,16.4,523,1660,1660,315,3000,5000,INR,"Heat exchangers, chemical processing, marine, medical implants, desalination","Ti Grade 2 (UNS R50400)","Ti 99.2%, O 0.25% max, Fe 0.30% max",Most common commercially pure titanium,,MatWeb,false
Ti-6Al-4V (Grade 5),Metal,Titanium,Ti-6Al-4V,ASTM B265,4.43,900,1170,830,1100,14,36 HRC,114,6.7,526,1604,1660,350,5000,9000,INR,"Aerospace turbine blades, aircraft structures, medical implants, racing car parts","Ti-6-4, UNS R56400","Ti 90%, Al 5.5-6.75%, V 3.5-4.5%",Most widely used titanium alloy,,MatWeb,false
Inconel 625,Metal,Nickel Alloy,625,ASTM B443,8.44,827,1034,414,655,30,190 HBW,205,9.8,410,1290,1350,980,4000,7000,INR,"Jet engine exhaust systems, chemical processing, nuclear reactors, marine","UNS N06625, NiCr22Mo9Nb (EN)","Ni 58%, Cr 20-23%, Mo 8-10%, Nb 3.15-4.15%",Extreme corrosion + high temp resistance,,MatWeb,false
