name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
AISI 1005 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1005,ASTM A29,7.87,310,340,175,205,36.5,107 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C5 (EN),"Fe ~99%, C 0.05%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1005 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1005,ASTM A108,7.87,390,406,266,275,21.9,129 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C5E (EN),"Fe ~99%, C 0.05%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1010 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1010,ASTM A29,7.87,335,365,195,225,35.0,115 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C10 (EN),"Fe ~99%, C 0.10%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1010 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1010,ASTM A108,7.87,420,437,294,304,21.0,138 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C10E (EN),"Fe ~99%, C 0.10%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1015 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1015,ASTM A29,7.87,360,390,215,245,33.5,122 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C15 (EN),"Fe ~99%, C 0.15%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1015 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1015,ASTM A108,7.87,450,468,322,333,20.1,147 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C15E (EN),"Fe ~99%, C 0.15%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1018 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1018,ASTM A29,7.87,375,405,227,257,32.6,127 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C18 (EN),"Fe ~99%, C 0.18%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1018 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1018,ASTM A108,7.87,468,487,338,350,19.6,152 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C18E (EN),"Fe ~99%, C 0.18%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1020 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1020,ASTM A29,7.87,385,415,235,265,32.0,130 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C20 (EN),"Fe ~99%, C 0.20%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1020 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1020,ASTM A108,7.87,480,500,350,362,19.2,156 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C20E (EN),"Fe ~99%, C 0.20%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1025 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1025,ASTM A29,7.87,410,440,255,285,30.5,137 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C25 (EN),"Fe ~99%, C 0.25%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1025 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1025,ASTM A108,7.87,510,531,378,391,18.3,165 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C25E (EN),"Fe ~99%, C 0.25%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
